City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,natal,-5.795,-35.2094,77.65,94,75,6.91,BR,1715969905
213,sokcho,38.2083,128.5911,70.41,32,0,19.57,KR,1715969991
214,afaahiti,-17.75,-149.2833,78.67,77,52,25.1,PF,1715969991
215,ma'an,26.9775,110.7211,69.58,92,100,4.25,CN,1715969991
216,caraballeda,10.6112,-66.8522,89.67,74,40,6.91,VE,1715969991
217,okhotsk,59.3833,143.3,35.64,92,53,4.43,RU,1715969991
218,buka,40.8108,69.1986,75.38,47,96,3.96,UZ,1715969991
219,ambon,-3.6954,128.1814,78.87,95,40,4.61,ID,1715969991
220,moroni,-11.7022,43.2551,80.85,76,77,2.89,KM,1715969992
221,nova xavantina,-14.6667,-52.35,91.87,31,26,5.01,BR,1715969992
222,vila velha,-20.3297,-40.2925,85.95,77,20,13.8,BR,1715969821
223,balurghat,25.2167,88.7667,92.01,29,84,7.18,IN,1715969992
224,gornyy,55.1153,83.9059,49.73,49,45,7.34,RU,1715969992
225,troitskiy,57.0603,63.7481,50.04,85,100,10.69,RU,1715969992
226,puerto lopez,4.0845,-72.956,87.53,66,79,2.66,CO,1715969992
227,reyes,-14.3167,-67.3833,84.16,70,75,4.61,BO,1715969822
228,labytnangi,66.6572,66.4183,26.38,90,100,4.21,RU,1715969992
229,keflavik,64.0049,-22.5624,44.51,61,75,18.41,IS,1715969992
230,brisas barra de suchiate,14.55,-92.2167,89.78,63,100,12.77,MX,1715969992
231,tolanaro,-25.0319,46.9987,68.56,96,2,4.68,MG,1715969992
232,colonia,50.9333,6.95,65.97,83,20,2.3,DE,1715969938
233,jayapura,-2.5333,140.7,76.39,91,100,3.42,ID,1715969992
234,port mathurin,-19.6833,63.4167,76.44,62,95,22.21,MU,1715969992
235,parauapebas,-6.0675,-49.9022,89.58,58,40,5.75,BR,1715969992
236,vallenar,-28.5708,-70.7581,64.6,36,16,6.13,CL,1715969992
237,christchurch,-43.5333,172.6333,39.94,91,73,1.14,NZ,1715969967
238,fort bragg,35.139,-79.006,83.82,67,75,4.61,US,1715969992
239,concepcion,-36.827,-73.0498,57.0,51,0,5.75,CL,1715969704
240,sola,-13.8833,167.55,79.47,94,100,0.0,VU,1715969992
241,kununurra,-15.7667,128.7333,76.98,47,19,8.05,AU,1715969992
242,port augusta,-32.5,137.7667,53.2,86,0,7.11,AU,1715969993
243,kuragino,53.8975,92.6725,48.76,60,13,2.98,RU,1715969993
244,yaren,-0.5472,166.916,83.16,76,100,5.21,NR,1715969993
245,ketchikan,55.3422,-131.6461,48.34,74,100,5.91,US,1715969993
246,carutapera,-1.195,-46.02,82.36,88,100,8.39,BR,1715969993
247,long beach,33.767,-118.1892,67.03,79,100,5.75,US,1715969823
248,tromso,69.6496,18.957,59.02,55,0,4.61,NO,1715969993
249,ormond-by-the-sea,29.3491,-81.0665,81.05,76,20,10.36,US,1715969993
250,mafinga,-7.25,35.0667,73.72,48,4,0.29,TZ,1715969993
251,east london,-33.0153,27.9116,63.54,77,0,9.22,ZA,1715969707
252,ust'-barguzin,53.45,108.9833,31.96,65,5,4.21,RU,1715969993
253,citra,29.4119,-82.1098,85.03,39,100,6.64,US,1715969993
254,dudinka,69.4058,86.1778,1.67,100,51,3.0,RU,1715969993
255,vernon,50.2581,-119.2691,57.24,51,98,11.99,CA,1715969993
256,lucapa,-8.4192,20.7447,74.01,43,7,4.09,AO,1715969993
257,garachico,28.7781,-17.7646,66.49,73,40,5.75,ES,1715969993
258,sil-li,39.4947,125.4736,57.0,82,4,5.61,KP,1715969993
259,yigo village,13.5361,144.8886,80.89,83,75,14.97,GU,1715969993
260,znamenskoye,57.1281,73.8282,53.42,64,88,5.44,RU,1715969993
261,anderson,34.5334,-82.6499,76.08,86,100,1.57,US,1715969775
262,saint-philippe,-21.3585,55.7679,69.39,79,81,7.74,RE,1715969993
263,piro,25.3333,84.4167,93.2,27,98,8.79,IN,1715969993
264,gubkinskiy,64.434,76.5026,31.08,93,100,14.09,RU,1715969837
265,galle,6.0367,80.217,79.84,87,100,11.81,LK,1715969904
266,le port,-20.9373,55.2919,73.36,61,60,20.65,RE,1715969945
267,yamada,39.4667,141.95,49.64,82,2,6.2,JP,1715969994
268,severo-yeniseyskiy,60.3725,93.0408,33.58,79,100,10.0,RU,1715969994
269,beshariq,40.4358,70.6103,80.31,43,83,7.94,UZ,1715969994
270,arawa,-6.2132,155.5367,79.86,85,100,5.88,PG,1715969994
271,yamethin,20.4333,96.15,85.87,57,48,11.79,MM,1715969994
272,la'ie,21.6477,-157.9253,76.96,97,16,1.01,US,1715969994
273,kamphaeng phet,16.25,99.5,84.6,66,100,3.6,TH,1715969994
274,isla vista,34.4133,-119.861,75.43,77,100,6.91,US,1715969994
275,ad dilam,23.9915,47.1627,91.81,20,37,16.44,SA,1715969994
276,chonchi,-42.6128,-73.8092,54.12,67,4,0.69,CL,1715969994
277,yorkton,51.2167,-102.4677,67.84,60,75,16.11,CA,1715969994
